brand,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price
Lamborghini,2006,10000,Gasoline,Automatic,Red,Black,None reported,Yes,259000
Chevrolet,2017,195361,Gasoline,Other,Black,Black,At least 1 accident or damage reported,Yes,26000
Bentley,2018,32500,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,103000
BMW,2019,14806,Gasoline,Other,Black,Black,At least 1 accident or damage reported,Yes,81330
Genesis,2022,11000,Gasoline,Automatic,White,–,At least 1 accident or damage reported,Yes,48950
Chevrolet,2011,92530,E85 Flex Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,18500
Dodge,2017,34845,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,30000
Porsche,2018,16280,Gasoline,Other,Red,Black,None reported,Yes,85500
Porsche,2011,77000,Gasoline,Automatic,Red,Beige,None reported,Yes,32000
Porsche,2010,63000,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,38500
Lexus,2016,39700,Gasoline,Automatic,White,Beige,None reported,Yes,25500
Kia,2013,103111,Hybrid,Automatic,Silver,Beige,At least 1 accident or damage reported,Yes,9200
Land,2019,75897,Gasoline,Automatic,Black,Black,None reported,No,35998
Jaguar,2017,55000,Gasoline,Other,Gray,Red,None reported,Yes,34000
Lexus,2005,114000,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,13450
Mercedes-Benz,2011,80124,Gasoline,Automatic,Black,Black,None reported,Yes,17500
BMW,2023,7000,Gasoline,Other,Gray,Gray,None reported,Yes,144900
RAM,2023,4285,Gasoline,Automatic,Delmonico Red Pearlcoat,Black / Saddle,None reported,Yes,65688
Lamborghini,2019,17175,Gasoline,Automatic,Rosso Mars Metallic,Nero Ade,None reported,No,234900
Toyota,2017,34049,Hybrid,Automatic,Shoreline Blue Pearl,Ash,None reported,No,37999
Audi,2019,16000,Electric,Automatic,White,Beige,At least 1 accident or damage reported,Yes,39990
GMC,1996,95000,Gasoline,Automatic,White,Gray,None reported,Yes,25000
Land,2020,59355,Gasoline,Automatic,Santorini Black,Ebony / Pimento,None reported,Yes,72995
Chevrolet,2022,31000,Electric,Automatic,Red,White,None reported,Yes,36000
BMW,2019,19300,Gasoline,Automatic,White,Red,None reported,Yes,36000
Cadillac,2009,155000,E85 Flex Fuel,Automatic,Red,Beige,At least 1 accident or damage reported,Yes,16900
Scion,2010,120010,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,6500
Kia,2012,152520,Gasoline,Automatic,White,Beige,None reported,Yes,10900
Honda,1993,58981,–,Automatic,White,Beige,None reported,Yes,9599
Maserati,2005,32000,Gasoline,Other,Red,Beige,At least 1 accident or damage reported,Yes,2954083
Porsche,2015,47000,Gasoline,Other,Black,Brown,None reported,Yes,50000
Genesis,2023,2046,Gasoline,Automatic,Green,Gray,None reported,Yes,43499
Chevrolet,2021,24965,Gasoline,Automatic,Mosaic Black Metallic,Jet Black,At least 1 accident or damage reported,Yes,22995
Toyota,2005,108000,Gasoline,Automatic,Beige,Gray,None reported,Yes,7850
Toyota,2015,76000,Gasoline,Automatic,Red,Gray,None reported,Yes,18300
Porsche,2014,30000,Gasoline,Automatic,Black,Brown,None reported,Yes,78500
Volvo,2015,59271,Gasoline,Automatic,Blue,Black,None reported,Yes,29900
Lexus,2023,1500,Gasoline,Automatic,Gray,Black,None reported,No,119500
BMW,2017,52500,Plug-In Hybrid,Other,Blue,Black,At least 1 accident or damage reported,Yes,24950
Tesla,2020,23100,Electric,Automatic,Blue,White,None reported,Yes,36495
FIAT,2017,45000,Gasoline,Manual,Gray,Black,At least 1 accident or damage reported,Yes,22500
Dodge,2002,179000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,6500
Toyota,2023,1500,Gasoline,Manual,Gray,Orange,None reported,Yes,84900
BMW,2022,38671,Hybrid,Automatic,Gray,Blk,None reported,No,66998
Jeep,2007,135465,Gasoline,Automatic,Black,Gray,None reported,Yes,15750
MINI,2014,79000,Gasoline,Other,White,Black,None reported,Yes,17000
Nissan,2012,42259,Gasoline,Variator,Black,Black,At least 1 accident or damage reported,Yes,17000
Toyota,2006,159890,Gasoline,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,6500
Maserati,2023,2200,Hybrid,Other,Black,Red,None reported,Yes,75000
Lexus,2022,15833,Hybrid,Variator,White,Beige,None reported,Yes,52000
BMW,2013,96000,Gasoline,Other,Black,Black,At least 1 accident or damage reported,Yes,13500
BMW,2009,72900,Gasoline,Automatic,Gray,Gray,None reported,Yes,15500
BMW,2021,7121,Gasoline,Automatic,Gray,Black,None reported,No,94998
Hyundai,2023,3402,Hybrid,Automatic,White,Black,None reported,Yes,44000
Volvo,2013,73000,Gasoline,Automatic,Silver,Black,None reported,Yes,13900
Karma,2018,21000,Electric,Automatic,White,Black,None reported,Yes,51000
BMW,2021,30309,Hybrid,Automatic,Blue,Tan,None reported,No,63598
Ford,2021,24000,Electric,Automatic,White,Black,None reported,Yes,38000
BMW,2016,73000,Gasoline,Other,Black,Black,None reported,Yes,23999
Ford,2019,26465,Gasoline,Automatic,White Platinum Tri-Coat Metallic,Ebony,None reported,No,24998
Volkswagen,2020,26870,Gasoline,Automatic,Deep Black Pearl Effect,Mistral Gray / Raven,At least 1 accident or damage reported,Yes,34645
Honda,2004,184000,Gasoline,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,10500
BMW,2022,4514,Gasoline,Automatic,Gray,Black,None reported,No,132998
RAM,2022,1300,Gasoline,Automatic,Red,Black,None reported,Yes,48000
Jeep,2018,49924,Gasoline,Automatic,White,Black,None reported,Yes,26500
GMC,2019,36526,Gasoline,Automatic,Red,Black,None reported,Yes,57850
BMW,2015,37000,Gasoline,Other,Silver,Silver,None reported,Yes,45950
Acura,2017,79884,Gasoline,Automatic,Gray,Graystone,At least 1 accident or damage reported,No,24840
Volkswagen,2016,30000,Gasoline,Other,Blue,Beige,At least 1 accident or damage reported,Yes,19000
BMW,2021,11102,Gasoline,Automatic,Black,Black,None reported,Yes,101000
Ford,2012,105500,Gasoline,Manual,Silver,Black,None reported,Yes,19000
BMW,2019,31157,Gasoline,Automatic,Black,Blk,None reported,No,65998
Kia,2019,86204,Gasoline,Automatic,Sparkling Silver,Satin Black,At least 1 accident or damage reported,No,20708
BMW,2014,80211,Gasoline,Automatic,Gray,Red,At least 1 accident or damage reported,Yes,17995
Aston,2010,25991,Gasoline,Automatic,Silver,Black,None reported,Yes,69995
Mercedes-Benz,2008,73000,Gasoline,Automatic,Black,Black,None reported,Yes,8400
BMW,2018,40989,Gasoline,Automatic,Black,Gold,None reported,Yes,35000
Dodge,2010,102681,Gasoline,Manual,Red,Black,None reported,Yes,6000
Acura,2010,123000,Gasoline,Other,Black,Black,At least 1 accident or damage reported,Yes,13888
Jeep,2005,160900,Gasoline,Automatic,Black,–,At least 1 accident or damage reported,Yes,7200
BMW,2011,105000,Gasoline,Manual,Silver,Black,At least 1 accident or damage reported,Yes,21900
Kia,2023,1340,Plug-In Hybrid,Automatic,Black,Black,None reported,Yes,41000
Ford,2021,17850,Electric,Automatic,Red,Black,None reported,Yes,41999
BMW,2011,72277,Gasoline,Other,Gray,Red,None reported,Yes,34950
Jeep,2023,7000,Hybrid,Automatic,Gray,Black,None reported,Yes,46000
Porsche,2022,10627,Gasoline,Automatic,Chalk,BLACK,None reported,No,99000
Ford,2020,67015,Gasoline,Automatic,Oxford White,Sandstone,None reported,No,28590
BMW,2018,19600,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,62000
Ford,2022,5800,Electric,Automatic,White,White,None reported,Yes,42500
FIAT,2017,33812,Electric,Automatic,Silver,Black,None reported,Yes,14999
Cadillac,2015,99897,Gasoline,Automatic,Black,Black,None reported,Yes,26950
Mercedes-Benz,2014,127500,Gasoline,Other,White,White,None reported,Yes,29000
Ford,2021,23842,Gasoline,Automatic,Gray,Medium Stone,None reported,Yes,59203
Rivian,2023,2108,Electric,Automatic,Silver,White,None reported,Yes,91000
BMW,2014,65550,Gasoline,Other,Black,Black,None reported,Yes,39985
Lamborghini,2017,22000,Gasoline,Other,White,Black,None reported,Yes,210000
Ford,2022,15600,Gasoline,Other,Gray,–,At least 1 accident or damage reported,Yes,68995
Lexus,2021,22400,Gasoline,Automatic,White,Red,None reported,Yes,81900
Lexus,2015,89150,Gasoline,Automatic,White,Black,None reported,Yes,31900
BMW,2023,15000,Gasoline,Automatic,BLUE,ORANGE,None reported,No,81000
Audi,2018,49500,Gasoline,Automatic,Blue,Gray,None reported,Yes,25000
Audi,2003,126000,Gasoline,Other,Gray,Black,None reported,No,13850
Volkswagen,2015,85385,Gasoline,Manual,Gray,Black,None reported,Yes,15550
Cadillac,2023,3000,Diesel,Automatic,White,Brown,None reported,Yes,123999
Hyundai,2018,66126,Gasoline,Automatic,Dazzling White,Gray,None reported,No,19190
Toyota,2023,1075,Gasoline,Manual,White,Black,None reported,Yes,35000
Ford,2023,2489,Gasoline,Automatic,Oxford White,Black Onyx,None reported,No,98900
Hyundai,2021,25000,Gasoline,Automatic,Black,Gray,None reported,Yes,28500
Nissan,2017,92000,Gasoline,Automatic,Black,Black,None reported,Yes,20900
Lexus,2008,123500,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14500
Cadillac,2013,105000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,12000
Audi,2008,49000,Gasoline,Manual,Black,Black,None reported,Yes,63000
Jaguar,2020,28357,Gasoline,Automatic,Santorini Black Metallic,Pimento Red w/Ebony,None reported,No,47598
Chevrolet,2018,81000,E85 Flex Fuel,Automatic,Red,Gray,None reported,Yes,32000
Ford,2021,45000,Gasoline,Other,Gray,Black,None reported,Yes,52000
Toyota,2011,173456,E85 Flex Fuel,Automatic,Black,Gray,At least 1 accident or damage reported,Yes,16000
BMW,2021,13700,Hybrid,Automatic,Black,Beige,None reported,No,60000
Audi,2019,93400,Hybrid,Automatic,Silver,Brown,None reported,Yes,42500
Toyota,2015,90000,Gasoline,Automatic,White,Beige,None reported,Yes,18200
Porsche,2017,40600,Gasoline,Automatic,Gray,Black,None reported,Yes,32000
Lexus,2023,20121,Gasoline,Automatic,Gray,Red,None reported,Yes,47124
Mercedes-Benz,2020,3921,Gasoline,Automatic,Black,White,None reported,Yes,175000
Lexus,2011,187450,Gasoline,Automatic,Silver,Beige,At least 1 accident or damage reported,Yes,10400
Toyota,2021,6400,Gasoline,Other,Gray,Black,None reported,Yes,68000
Mercedes-Benz,2017,54500,Gasoline,Automatic,White,Black,None reported,Yes,37995
BMW,2017,78500,Gasoline,Automatic,Red,Brown,At least 1 accident or damage reported,Yes,42000
Chevrolet,2018,75000,Gasoline,Automatic,Silver,Black,None reported,Yes,36000
Ford,2014,89988,Gasoline,Automatic,Red,Red,At least 1 accident or damage reported,Yes,42500
Subaru,2005,107000,Gasoline,Automatic,Gold,Beige,None reported,Yes,7100
Alfa,2019,21400,Gasoline,Automatic,White,Black,None reported,Yes,28500
Mazda,2007,83150,Gasoline,Automatic,White,Beige,None reported,Yes,6950
Ford,2018,92000,Diesel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,36500
Mercedes-Benz,2021,15042,Gasoline,Automatic,Selenite Gray Metallic,Macchiato,None reported,No,54599
Audi,2017,39000,Gasoline,Other,Black,Black,At least 1 accident or damage reported,Yes,35000
RAM,2017,67483,Gasoline,Automatic,Brown,Beige,At least 1 accident or damage reported,Yes,46500
Tesla,2015,62089,Electric,Automatic,Black,Beige,None reported,Yes,29975
Audi,2017,54300,Gasoline,Automatic,Black,Black,None reported,Yes,53500
Hyundai,2022,30565,Hybrid,Automatic,Gray,Black,None reported,Yes,29000
Audi,2016,142666,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,22000
Ford,2009,166200,Gasoline,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,6999
INFINITI,2015,88977,Hybrid,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,19977
BMW,2011,114890,Gasoline,Other,White,Beige,None reported,Yes,20990
Mercedes-Benz,2009,171000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,4750
Ford,2019,90067,Gasoline,Automatic,Black,Ebony Black,None reported,No,28590
Chevrolet,2014,97579,Gasoline,Other,Black,Black,At least 1 accident or damage reported,Yes,15000
Mazda,2017,52000,Gasoline,Manual,Black,Black,At least 1 accident or damage reported,Yes,20500
Jeep,2021,25968,Gasoline,Automatic,Metallic,Global Black,None reported,No,38405
MINI,2016,41680,Gasoline,Automatic,Silver,Black,None reported,Yes,17495
Saab,2002,77200,Gasoline,Manual,Black,Beige,None reported,Yes,7500
BMW,2019,50000,Gasoline,Automatic,Blue,Gold,None reported,Yes,43000
Porsche,2021,21613,Gasoline,Automatic,White,–,None reported,No,58998
Audi,2022,17377,Gasoline,Automatic,Glacier White,Pearl Beige,None reported,No,39998
GMC,2020,30426,Gasoline,Automatic,Ebony Twilight Metallic,Jet Black,None reported,No,29645
Audi,2005,153000,Gasoline,Manual,Blue,Blue,At least 1 accident or damage reported,Yes,6500
Mercury,2004,56600,Gasoline,Other,Silver,Black,None reported,Yes,23000
Hyundai,2015,116612,Gasoline,Automatic,White,White,At least 1 accident or damage reported,Yes,12700
Audi,2018,72000,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,30000
Audi,2019,39000,Hybrid,Automatic,Black,Brown,None reported,Yes,50000
Lincoln,2008,149000,Gasoline,Automatic,Gold,Beige,None reported,Yes,10099
BMW,2018,19300,Gasoline,Manual,White,Silver,None reported,Yes,64000
Mazda,2021,27836,Gasoline,Automatic,Polymetal Gray Metallic,Red,None reported,Yes,36969
Chevrolet,2023,3273,Gasoline,Other,Black,Red,None reported,Yes,78999
Ford,2017,74349,Gasoline,Automatic,White,–,None reported,Yes,36000
Ford,2019,85000,Diesel,Automatic,White,Black,At least 1 accident or damage reported,Yes,55000
Ferrari,2022,2250,Gasoline,Automatic,Gray,Blue,None reported,Yes,259500
Mercedes-Benz,2017,46100,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,33000
Hyundai,2019,49500,Gasoline,Automatic,Silver,Gray,None reported,Yes,28000
Mercedes-Benz,2012,31130,Gasoline,Automatic,Black,Black,None reported,Yes,23500
Ford,2008,149460,Diesel,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,12240
Mercury,2003,90000,Gasoline,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,15500
Ford,2021,48000,E85 Flex Fuel,Automatic,White,Gray,None reported,Yes,57000
Mercedes-Benz,2013,98000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,15500
Volkswagen,2022,18655,Gasoline,Automatic,Oryx White Prl,Titan Black,None reported,No,38698
Chevrolet,2006,60000,Gasoline,Automatic,Brown,Brown,At least 1 accident or damage reported,Yes,24950
Chevrolet,2014,169500,E85 Flex Fuel,Automatic,Purple,Brown,None reported,Yes,15000
Mitsubishi,2008,189500,Gasoline,Manual,Red,Black,None reported,Yes,6000
Toyota,2016,91000,Gasoline,Automatic,Black,Brown,None reported,Yes,68500
Genesis,2022,7396,Gasoline,Automatic,Black Forest Green,Black,None reported,No,41299
Toyota,2004,229450,Gasoline,Automatic,Gray,Gray,None reported,Yes,8250
Maserati,2023,8603,Gasoline,Automatic,Blu,Tan,None reported,No,125900
Audi,2014,49098,Gasoline,Other,White,Black,At least 1 accident or damage reported,Yes,44900
Nissan,2022,21212,Gasoline,Automatic,Gun Metallic,Charcoal,None reported,No,28906
Porsche,2010,62743,Gasoline,Other,Silver,Gray,None reported,Yes,28600
BMW,2021,24300,Hybrid,Automatic,Gray,Beige,None reported,Yes,49999
Cadillac,2010,104000,E85 Flex Fuel,Automatic,Gray,–,None reported,Yes,19500
Volvo,2020,46250,Gasoline,Automatic,White,Charcoal,At least 1 accident or damage reported,Yes,27800
Mazda,2023,1930,Gasoline,Automatic,Jet Black Mica,Black,At least 1 accident or damage reported,Yes,40655
Chrysler,2022,61494,Hybrid,Automatic,Bright White Clearcoat,Black,None reported,No,35850
Jeep,2020,24040,Gasoline,Automatic,Black Clearcoat,Black,None reported,Yes,35273
Toyota,2001,231581,Gasoline,Automatic,Beige,Beige,None reported,Yes,4300
Ford,2019,81000,Gasoline,Automatic,Gray,Black,None reported,Yes,38500
Ford,1974,6217,–,Other,Dark Gray Metallic,–,None reported,Yes,115000
Land,2022,23568,Gasoline,Automatic,Firenze Red,Ebony,None reported,No,44998
Mazda,2020,78700,Gasoline,Automatic,White,Black,None reported,Yes,18000
Kia,2015,109580,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,11900
Lexus,2009,178000,Gasoline,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,4500
Mitsubishi,2016,131193,Gasoline,Automatic,Black,Black,None reported,Yes,11970
Mercedes-Benz,2017,106000,Gasoline,Automatic,White,Black,None reported,Yes,25900
Audi,2019,28211,Gasoline,Other,Gray,Black,At least 1 accident or damage reported,Yes,27500
Audi,2015,91403,E85 Flex Fuel,Automatic,Silver,Gray,None reported,No,14998
Mercedes-Benz,2016,88600,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,16800
INFINITI,2011,84900,Gasoline,Automatic,Silver,Black,None reported,No,22450
Kia,2021,11154,Gasoline,Automatic,Glacial White Pearl,Black,None reported,No,28998
BMW,2018,45090,Plug-In Hybrid,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,30750
Mercedes-Benz,2003,33272,Gasoline,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,11900
Jeep,2003,71000,Gasoline,Manual,Red,Gray,None reported,Yes,12499
Kia,2020,55400,Gasoline,Automatic,Green,White,None reported,No,36500
Land,2012,141525,Gasoline,Automatic,Black,Black,None reported,Yes,14490
Jaguar,2007,50000,Gasoline,Other,Black,Beige,At least 1 accident or damage reported,Yes,21900
BMW,2020,29140,Gasoline,Manual,Orange,Orange,None reported,Yes,71995
BMW,2022,9000,Hybrid,Automatic,White,Red,None reported,Yes,56900
Mercedes-Benz,2021,5595,Hybrid,Automatic,designo Diamond White Metallic,Black,None reported,No,83598
RAM,2022,34121,Gasoline,Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,No,48190
BMW,2013,36750,Gasoline,Automatic,Black,Black,None reported,Yes,35999
Mercedes-Benz,2007,49626,Gasoline,Automatic,White,–,None reported,Yes,12000
Jeep,2017,45000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,16500
Toyota,2019,69350,Hybrid,Automatic,Black,Gray,None reported,Yes,36000
BMW,2022,8307,Gasoline,Automatic,Blue Metallic,Sakhir Orange,None reported,No,98900
BMW,2023,4106,Gasoline,Manual,Isle of Man Green Metallic,Kyalami Orange,None reported,Yes,84645
BMW,1999,184700,Gasoline,Manual,Blue,Gray,None reported,Yes,36950
Maserati,2018,57500,Gasoline,Automatic,White,Brown,None reported,Yes,41900
Acura,2021,29000,Gasoline,Automatic,Black,Black,None reported,Yes,39650
Mercedes-Benz,2015,61675,Gasoline,Other,Gray,Black,At least 1 accident or damage reported,Yes,19000
Mercedes-Benz,2021,33300,Diesel,Automatic,White,Black,None reported,Yes,45000
Cadillac,2014,62950,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,17498
Chevrolet,2015,56675,Gasoline,Other,Silver,Black,None reported,Yes,19750
Porsche,2013,92000,Gasoline,Automatic,Green,Gray,None reported,Yes,23000
Dodge,2005,96000,Gasoline,Automatic,Gray,Gold,At least 1 accident or damage reported,Yes,12000
INFINITI,2014,33500,Gasoline,Automatic,Black,Black,None reported,Yes,23000
Land,2020,16754,Gasoline,Automatic,White,White,None reported,Yes,112000
Toyota,2007,53249,Hybrid,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,9250
GMC,2016,119000,Gasoline,Automatic,Gold,Brown,None reported,Yes,12500
Lincoln,2021,29336,Gasoline,Automatic,Black,Sandstone,None reported,No,36999
RAM,2017,86000,Diesel,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,41000
RAM,2014,177000,Diesel,Automatic,Black,–,At least 1 accident or damage reported,Yes,40500
Mercedes-Benz,2013,93500,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15900
BMW,2018,47700,Gasoline,Automatic,Red,White,At least 1 accident or damage reported,Yes,54999
Ford,2003,97496,Gasoline,Manual,Gray,Gray,None reported,No,24500
Acura,2022,16120,Gasoline,Automatic,Gray,Ebony,None reported,No,26599
Buick,2005,147589,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,2800
Cadillac,2013,95570,E85 Flex Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,22000
Mercedes-Benz,2018,45791,Gasoline,Automatic,Gray,Gray,None reported,Yes,52000
INFINITI,2016,60000,Gasoline,Automatic,Silver,Beige,At least 1 accident or damage reported,Yes,25950
Buick,2019,50000,Gasoline,Automatic,White,Black,None reported,Yes,18795
Mercedes-Benz,2019,33481,Gasoline,Automatic,Black,Almond Beige,None reported,No,43999
Jeep,2010,107000,Gasoline,Automatic,Gray,Gray,None reported,Yes,5900
Mercedes-Benz,2011,60000,Gasoline,Other,White,Black,At least 1 accident or damage reported,Yes,37000
Audi,2016,55000,Gasoline,Automatic,White,Brown,None reported,Yes,28000
Mazda,2022,4004,Gasoline,Automatic,Black,Black,None reported,Yes,25500
Bentley,2009,57800,Gasoline,Automatic,Blue,Beige,None reported,No,59400
Bentley,2022,10972,Gasoline,Automatic,Red,Black,None reported,Yes,217950
Bentley,2022,27858,Gasoline,Automatic,–,–,None reported,Yes,197750
Porsche,2018,31678,Gasoline,Other,Silver,–,None reported,No,106798
Volkswagen,2016,47144,Gasoline,Manual,Blue,Black,None reported,Yes,29950
Hyundai,2011,165454,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,4000
Ford,2018,98000,Gasoline,Automatic,White,–,At least 1 accident or damage reported,Yes,25500
Hyundai,2020,39913,Gasoline,Automatic,Black Noir Pearl,Beige,None reported,No,22749
Ford,2013,147191,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,12990
BMW,2014,53600,Gasoline,Automatic,Silver,Black,None reported,Yes,25980
Dodge,2010,100100,–,Other,Purple,Black,None reported,Yes,17000
Mercedes-Benz,2020,1750,Gasoline,Automatic,Blue,Black,None reported,Yes,199995
Dodge,2020,2750,Gasoline,Automatic,Orange,Black,None reported,Yes,104500
Porsche,2013,40800,Gasoline,Automatic,Brown,Beige,None reported,Yes,35500
Porsche,2018,36798,Gasoline,Automatic,Volcano Grey Metallic,Black,At least 1 accident or damage reported,Yes,49500
Ford,2021,77699,Diesel,Automatic,White,Medium Earth Gray,None reported,No,49883
Ford,2010,87500,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,14900
Chevrolet,2020,93000,Gasoline,Automatic,Black,Black,None reported,Yes,38500
Mercedes-Benz,2018,41515,Gasoline,Automatic,Black,Black,None reported,Yes,28251
RAM,2019,19000,E85 Flex Fuel,Automatic,Diamond Black,Diesel Gray / Black,At least 1 accident or damage reported,No,33242
Toyota,2023,1539,Hybrid,Automatic,Green,Boulder,At least 1 accident or damage reported,Yes,76373
BMW,2018,31090,Gasoline,Automatic,Green,Black,At least 1 accident or damage reported,Yes,68000
Mazda,2022,21701,Gasoline,Automatic,Soul Red Crystal Metallic,Black,None reported,No,25099
Nissan,2016,97726,Gasoline,Other,Gun Metallic,Charcoal,At least 1 accident or damage reported,No,15998
Audi,2015,73000,Diesel,Automatic,White,Gray,None reported,Yes,34000
Genesis,2020,23600,Gasoline,Automatic,Blue,Gray,None reported,Yes,31900
Rolls-Royce,2016,8755,Gasoline,Automatic,Black,Black,None reported,Yes,166900
BMW,2019,20500,Gasoline,Other,Blue,Black,None reported,Yes,67900
Ford,2013,57912,Gasoline,Manual,Black,Black,At least 1 accident or damage reported,Yes,18750
BMW,2009,35000,Gasoline,Automatic,Black,Black,None reported,Yes,18500
Nissan,2023,7089,Electric,Automatic,Black,Black,At least 1 accident or damage reported,Yes,29895
Lincoln,2019,35469,Gasoline,Automatic,Black,–,None reported,No,30890
Kia,2022,14676,Gasoline,Automatic,Dark Moss,Gray,None reported,No,46787
Lincoln,2022,13750,Gasoline,Automatic,White,Beige,None reported,Yes,79999
Mercedes-Benz,2015,13300,Gasoline,Automatic,Black,Black,None reported,Yes,62500
Chevrolet,2017,117000,Gasoline,Automatic,Blue,Beige,None reported,Yes,27000
Audi,2020,27100,Hybrid,Automatic,White,Black,None reported,Yes,50000
Ford,2017,89352,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,20989
Chevrolet,2018,100000,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,8500
Land,2020,16000,Hybrid,Automatic,Silver,Black,None reported,Yes,75500
Land,2023,15200,Gasoline,Automatic,White,Black,None reported,Yes,62999
BMW,2012,39960,Gasoline,Manual,White,Brown,None reported,Yes,38995
Ford,2008,119000,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,13500
Kia,2022,10971,Gasoline,Automatic,Passion Red,Black,None reported,No,29998
Mazda,2014,118500,Gasoline,Manual,Silver,Black,At least 1 accident or damage reported,Yes,11500
Kia,2021,8288,Gasoline,Automatic,Black,Black,None reported,Yes,45899
Chevrolet,2023,2950,Gasoline,Automatic,Red,Gray,None reported,Yes,74500
Mercedes-Benz,2017,73000,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,78000
Ford,2005,82000,Gasoline,Other,Gold,White,None reported,Yes,14900
Audi,2019,7874,Electric,Automatic,Typhoon Gray Metallic,Pearl Beige,None reported,No,38999
GMC,2017,49105,Gasoline,Automatic,White,Black,None reported,Yes,39750
Kia,2023,5500,Gasoline,Automatic,Silver,Black,None reported,Yes,40000
Chevrolet,2005,36700,Gasoline,Manual,Blue,Black,None reported,Yes,26000
BMW,2014,40000,Gasoline,Other,White,Beige,None reported,Yes,34000
Nissan,2017,78110,Gasoline,Automatic,Silver,Black,None reported,No,17500
GMC,2015,74864,Gasoline,Automatic,Gray,Beige,None reported,Yes,19780
Cadillac,2021,15350,Gasoline,Automatic,Black,Black,None reported,Yes,93500
Nissan,2010,46100,Gasoline,Automatic,Blue,Black,None reported,Yes,72999
Toyota,2018,61454,Gasoline,Automatic,Silver,Gray,None reported,Yes,31000
BMW,2020,45241,Gasoline,Automatic,Blue,Brown,None reported,Yes,54500
INFINITI,2018,48000,Gasoline,Variator,Black,Black,None reported,Yes,27000
Lexus,2010,68500,Gasoline,Manual,Black,Beige,None reported,Yes,18500
GMC,2019,43433,Gasoline,Automatic,Onyx Black,Walnut,None reported,No,51899
Chevrolet,2005,122961,Gasoline,Automatic,Redline Red,Ebony,None reported,Yes,20995
Dodge,2014,92861,Gasoline,Automatic,Gray,Red,None reported,Yes,19750
Hyundai,2016,72000,Gasoline,Automatic,White,Beige,None reported,Yes,21400
Lamborghini,2019,6929,Gasoline,Automatic,Blue,Black,None reported,Yes,649999
Ford,2003,83000,Gasoline,Automatic,Gray,Black,None reported,Yes,10500
Audi,2021,18031,Electric,Automatic,Navarra Blue Metallic,Black,None reported,No,39599
Toyota,2023,8200,Hybrid,Automatic,Brown,Black,None reported,Yes,78900
Land,2020,19000,Hybrid,Other,Silver,Black,None reported,No,74900
Jeep,2022,12875,Gasoline,Automatic,Diamond Black,Global Black,None reported,No,42599
Maserati,2015,32000,Gasoline,Automatic,Beige,Brown,None reported,Yes,36000
BMW,2013,61145,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,37500
Mercedes-Benz,2022,9612,Gasoline,Automatic,–,–,None reported,No,43900
Land,2023,3534,Hybrid,Automatic,Red,Black,None reported,No,143998
